plate,ID,dil,batch
parce lys 2023.03.07 plate 6,139,1,1
parce lys 2023.03.07 plate 6,140,1,1
parce lys 2023.03.07 plate 6,141,1,1
parce lys 2023.03.07 plate 6,142,1,1
parce lys 2023.03.07 plate 6,143,1,1
parce lys 2023.03.07 plate 6,144,1,1
parce lys 2023.03.07 plate 6,145,1,1
parce lys 2023.03.07 plate 6,146,1,1
parce lys 2023.03.07 plate 6,147,1,1
parce lys 2023.03.07 plate 6,148,1,1
parce lys 2023.03.07 plate 6,149,1,1
parce lys 2023.03.07 plate 6,150,1,1
parce lys 2023.03.07 plate 6,151,1,1
parce lys 2023.03.07 plate 6,152,1,1
parce lys 2023.03.07 plate 6,153,1,1
parce lys 2023.03.07 plate 6,154,1,1
parce lys 2023.03.07 plate 6,155,1,1
parce lys 2023.03.07 plate 6,156,1,1
parce lys 2023.03.08 plate 7,157,1,1
parce lys 2023.03.08 plate 7,158,1,1
parce lys 2023.03.08 plate 7,159,1,1
parce lys 2023.03.08 plate 7,160,1,1
parce lys 2023.03.08 plate 7,161,1,1
parce lys 2023.03.08 plate 7,162,1,1
parce lys 2023.03.08 plate 7,163,1,1
parce lys 2023.03.08 plate 7,164,1,1
parce lys 2023.03.08 plate 7,165,1,1
parce lys 2023.03.08 plate 7,166,1,1
parce lys 2023.03.08 plate 7,167,1,1
parce lys 2023.03.08 plate 7,168,1,1
parce lys 2023.03.08 plate 7,169,1,1
parce lys 2023.03.08 plate 7,170,1,1
parce lys 2023.03.08 plate 7,171,1,1
parce lys 2023.03.08 plate 7,172,1,1
parce lys 2023.03.08 plate 7,173,1,1
parce lys 2023.03.08 plate 7,174,1,1
parce lys 2023.03.08 plate 7,175,1,1
parce lys 2023.03.08 plate 7,176,1,1
parce lys 2023.03.08 plate 7,177,1,1
parce lys 2023.03.08 plate 7,178,1,1
parce lys 2023.03.08 plate 7,179,1,1
parce lys 2023.03.08 plate 7,180,1,1
parce lys 2023.03.08 plate 7,181,1,1
parce lys 2023.03.08 plate 7,182,1,1
parce lys 2023.03.08 plate 8,183,1,1
parce lys 2023.03.08 plate 8,184,1,1
parce lys 2023.03.08 plate 8,185,1,1
parce lys 2023.03.08 plate 8,186,1,1
parce lys 2023.03.08 plate 8,187,1,1
parce lys 2023.03.08 plate 8,188,1,1
parce lys 2023.03.08 plate 8,189,1,1
parce lys 2023.03.08 plate 8,190,1,1
parce lys 2023.03.08 plate 8,191,1,1
parce lys 2023.03.08 plate 8,192,1,1
parce lys 2023.03.08 plate 8,193,1,1
parce lys 2023.03.08 plate 8,194,1,1
parce lys 2023.03.08 plate 8,195,1,1
parce lys 2023.03.08 plate 8,196,1,1
